Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Габариты, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Подшипник со стороны привода, DE |Подшипник со стороны насоса, NDE|Цена
АИС200LA6|Электродвигатели АИС|Электродвигатель АИС200LA6 18,5 кВт 3000 об/мин|18.5|1000|980|38.6|380/660 ( Δ / Y )|6|90|0.81|7|2.1|2.1|770х395х505|236|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|72467
АИС200LB2|Электродвигатели АИС|Электродвигатель АИС200LB2 37 кВт 3000 об/мин|37|3000|2950|67.9|380/660 ( Δ / Y )|2|92|0.9|7.5|2|2.3|770х395х505|230|50|IE1|F|S1|IC411|IP55|У1|6309|6309|88723
АИС200LB6|Электродвигатели АИС|Электродвигатель АИС200LB6 22 кВт 1000 об/мин|22|1000|980|44.7|380/660 ( Δ / Y )|6|90|0.83|7|2|2.1|770х395х505|247|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|79392
АИС225M2|Электродвигатели АИС|Электродвигатель АИС225M2 45 кВт 3000 об/мин|45|3000|2960|82.1|380/660 ( Δ / Y )|2|92.5|0.9|7.5|2|2.3|820х435х560|290|50|IE1|F|S1|IC411|IP55|У1|6309|6309|103497
АИС225M4|Электродвигатели АИС|Электродвигатель АИС225M4 45 кВт 3000 об/мин|45|1500|1475|84.9|380/660 ( Δ / Y )|4|92.5|0.87|7.2|2.2|2.3|845х435х560|313|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|110859
АИС225M6|Электродвигатели АИС|Электродвигатель АИС225M6 30 кВт 3000 об/мин|30|1000|980|59.3|380/660 ( Δ / Y )|6|91.5|0.84|7|2|2.1|845х435х560|287|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|105352
АИС225M8|Электродвигатели АИС|Электродвигатель АИС225M8 22 кВт 750 об/мин|22|750|730|48.9|380/660 ( Δ / Y )|8|90.5|0.78|6.6|1.9|2|845х435х560|290|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |108849
АИС225S4|Электродвигатели АИС|Электродвигатель АИС225S4 37 кВт 1000 об/мин|37|1500|1475|70.2|380/660 ( Δ / Y )|4|92|0.87|7.2|2.2|2.3|815х435х560|288|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|99268
АИС225S8|Электродвигатели АИС|Электродвигатель АИС225S8 18,5 кВт 750 об/мин|18.5|750|730|41.1|380/660 ( Δ / Y )|8|90|0.76|6.6|1.9|2|815х435х560|274|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |100608
АИС250M2|Электродвигатели АИС|Электродвигатель АИС250M2 55 кВт 3000 об/мин|55|3000|2970|100|380/660 ( Δ / Y )|2|93|0.9|7.5|2|2.3|920х490х615|359|50|IE1|F|S1|IC411|IP55|У1|6309|6309|144022
АИС250M4|Электродвигатели АИС|Электродвигатель АИС250M4 55 кВт 1000 об/мин|55|1500|1480|103|380/660 ( Δ / Y )|4|93|0.87|7.2|2.2|2.3|920х490х615|376|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|147111
АИС250M6|Электродвигатели АИС|Электродвигатель АИС250M6 37 кВт 1000 об/мин|37|1000|980|71|380/660 ( Δ / Y )|6|92|0.86|7|2.1|2.1|920х490х615|355|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|121631
АИС250M8|Электродвигатели АИС|Электродвигатель АИС250M8 30 кВт 750 об/мин|30|750|735|63|380/660 ( Δ / Y )|8|91|0.79|6.5|1.9|2|920х490х615|370|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |128555
АИС280M2|Электродвигатели АИС|Электродвигатель АИС280M2 90 кВт 3000 об/мин|90|3000|2975|160|380/660 ( Δ / Y )|2|93.9|0.91|7.1|2|2.3|1045х550х680|510|50|IE1|F|S1|IC411|IP55|У1|6309|6309|185233
АИС280M4|Электродвигатели АИС|Электродвигатель АИС280M4 90 кВт 750 об/мин|90|1500|1480|165|380/660 ( Δ / Y )|4|93.9|0.88|6.8|2.2|2.3|1045х550х680|581|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|209580
АИС280M6|Электродвигатели АИС|Электродвигатель АИС280M6 55 кВт 750 об/мин|55|1000|980|104|380/660 ( Δ / Y )|6|92.8|0.86|6.7|2.1|2|1045х550х680|498|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|176382
АИС280M8|Электродвигатели АИС|Электродвигатель АИС280M8 45 кВт 1000 об/мин|45|750|740|94|380/660 ( Δ / Y )|8|92|0.79|6.6|1.9|2|1045х550х680|563|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |187053
АИС280S2|Электродвигатели АИС|Электродвигатель АИС280S2 75 кВт 3000 об/мин|75|3000|2975|135|380/660 ( Δ / Y )|2|93.6|0.9|7|2|2.3|995х550х680|475|50|IE1|F|S1|IC411|IP55|У1|6309|6309|170726
АИС280S4|Электродвигатели АИС|Электродвигатель АИС280S4 75 кВт 3000 об/мин|75|1500|1480|138.3|380/660 ( Δ / Y )|4|93.6|0.88|6.8|2.2|2.3|995х550х680|508|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|183538
АИС280S6|Электродвигатели АИС|Электродвигатель АИС280S6 45 кВт 3000 об/мин|45|1000|980|86|380/660 ( Δ / Y )|6|92.5|0.86|7|2.1|2|995х550х680|444|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|160292
АИС280S8|Электродвигатели АИС|Электродвигатель АИС280S8 37 кВт 1500 об/мин|37|750|740|78|380/660 ( Δ / Y )|8|91.5|0.79|6.6|1.9|2|995х550х680|488|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |168618
АИС315LA2|Электродвигатели АИС|Электродвигатель АИС315LA2 160 кВт 3000 об/мин|160|3000|2975|279|380/660 ( Δ / Y )|2|94.6|0.92|7.1|1.8|2.2|1290х635х845|1010|50|IE1|F|S1|IC411|IP55|У1|6309|6309|401119
АИС315LA4|Электродвигатели АИС|Электродвигатель АИС315LA4 160 кВт 750 об/мин|160|1500|1480|288|380/660 ( Δ / Y )|4|94.9|0.89|6.9|2.1|2.2|1325х635х845|1044|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|401887
АИС315LA6|Электродвигатели АИС|Электродвигатель АИС315LA6 110 кВт 3000 об/мин|110|1000|985|207|380/660 ( Δ / Y )|6|94|0.86|6.7|2|2|1325х635х845|1031|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|389809
АИС315LA8|Электродвигатели АИС|Электродвигатель АИС315LA8 90 кВт 3000 об/мин|90|750|735|178|380/660 ( Δ / Y )|8|93.8|0.82|6.4|1.8|2|1325х635х845|1027|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |378846
АИС315LB2|Электродвигатели АИС|Электродвигатель АИС315LB2 200 кВт 3000 об/мин|200|3000|2975|348|380/660 ( Δ / Y )|2|94.8|0.92|7.1|1.8|2.2|1325х635х845|1138|50|IE1|F|S1|IC411|IP55|У1|6309|6309|436214
АИС315LB4|Электродвигатели АИС|Электродвигатель АИС315LB4 200 кВт 1000 об/мин|200|1500|1480|360|380/660 ( Δ / Y )|4|94.9|0.89|6.9|2.1|2.2|1325х635х845|1162|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|450938
АИС315LB6|Электродвигатели АИС|Электродвигатель АИС315LB6 132 кВт 3000 об/мин|132|1000|985|245|380/660 ( Δ / Y )|6|94.2|0.87|6.7|2|2|1325х635х845|1107|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|440656
АИС315LB8|Электродвигатели АИС|Электродвигатель АИС315LB8 110 кВт 1000 об/мин|110|750|735|217|380/660 ( Δ / Y )|8|94|0.82|6.4|1.8|2|1325х635х845|1117|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |450199
АИС315LC6|Электродвигатели АИС|Электродвигатель АИС315LC6 160 кВт 1000 об/мин|160|1000|985|291|380/660 ( Δ / Y )|6|94.2|0.87|6.7|2|2|1325х635х845|1200|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|0
АИС315M2|Электродвигатели АИС|Электродвигатель АИС315M2 132 кВт 3000 об/мин|132|3000|2975|233|380/660 ( Δ / Y )|2|94.5|0.91|7.1|1.8|2.2|1290х635х845|963|50|IE1|F|S1|IC411|IP55|У1|6309|6309|373976
АИС315M4|Электродвигатели АИС|Электродвигатель АИС315M4 132 кВт 1500 об/мин|132|1500|1480|240|380/660 ( Δ / Y )|4|94.8|0.88|6.9|2.1|2.2|1325х635х845|940|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|347752
АИС315M6|Электродвигатели АИС|Электродвигатель АИС315M6 90 кВт 750 об/мин|90|1000|985|169|380/660 ( Δ / Y )|6|93.8|0.86|6.7|2|2|1325х635х845|950|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|349778
АИС315M8|Электродвигатели АИС|Электродвигатель АИС315M8 75 кВт 1500 об/мин|75|750|735|150|380/660 ( Δ / Y )|8|93.5|0.81|6.2|1.8|2|1325х635х845|933|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |347159
АИС315S2|Электродвигатели АИС|Электродвигатель АИС315S2 110 кВт 3000 об/мин|110|3000|2975|195|380/660 ( Δ / Y )|2|94|0.91|7.1|1.8|2.2|1185х635х845|875|50|IE1|F|S1|IC411|IP55|У1|6309|6309|320557
АИС315S4|Электродвигатели АИС|#REF!|110|1500|1480|201|380/660 ( Δ / Y )|4|94.5|0.88|6.9|2.1|2.2|1220х635х845|846|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|315197
АИС315S6|Электродвигатели АИС|Электродвигатель АИС315S6 75 кВт 750 об/мин|75|1000|985|142|380/660 ( Δ / Y )|6|93.5|0.86|6.7|2|2|1220х635х845|859|50|IE1|F|S1|IC411|IP55|У1|62022RZ|62022RZ|306650
АИС315S8|Электродвигатели АИС|Электродвигатель АИС315S8 55 кВт 750 об/мин|55|750|735|111|380/660 ( Δ / Y )|8|92.8|0.81|6.6|1.8|2|1220х635х845|852|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |304795
АИС355L2|Электродвигатели АИС|Электродвигатель АИС355L2 315 кВт 3000 об/мин|315|3000|2980|545|380/660 ( Δ / Y )|2|95.41|0.92|7.1|1.6|2.2|1500х730х1010|2300|50|IE1|F|S1|IC411|IP55|У1|6311|6311|823785
АИС355L4|Электродвигатели АИС|Электродвигатель АИС355L4 315 кВт 1000 об/мин|315|1500|1490|559|380/660 ( Δ / Y )|4|95.2|0.9|6.9|2.1|2.2|1530х730х1010|1900|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|816816
АИС355L6|Электродвигатели АИС|Электродвигатель АИС355L6 250 кВт 750 об/мин|250|1000|990|457|380/660 ( Δ / Y )|6|94.5|0.88|6.7|1.9|2|1530х730х1010|1700|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |849089
АИС355L8|Электродвигатели АИС|Электродвигатель АИС355L8 200 кВт 1500 об/мин|200|750|740|87|380/660 ( Δ / Y )|8|94.5|0.83|6.4|1.8|2|1530х730х1010|2250|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |0
АИС355M2|Электродвигатели АИС|Электродвигатель АИС355M2 250 кВт 3000 об/мин|250|3000|2980|433|380/660 ( Δ / Y )|2|95.2|0.92|7.1|1.6|2.2|1500х730х1010|1900|50|IE1|F|S1|IC411|IP55|У1|6311|6311|755270
АИС355M4|Электродвигатели АИС|Электродвигатель АИС355M4 250 кВт 1000 об/мин|250|1500|1490|443|380/660 ( Δ / Y )|4|95.2|0.9|6.9|2.1|2.2|1530х730х1010|1700|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|749129
АИС355MA6|Электродвигатели АИС|Электродвигатель АИС355MA6 160 кВт 750 об/мин|160|1000|990|292|380/660 ( Δ / Y )|6|94.5|0.88|6.7|1.9|2|1530х730х1010|1550|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |667162
АИС355MA8|Электродвигатели АИС|Электродвигатель АИС355MA8 132 кВт 1500 об/мин|132|750|740|261|380/660 ( Δ / Y )|8|93.7|0.82|6.4|1.8|2|1530х730х1010|2000|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |0
АИС355MB6|Электродвигатели АИС|Электродвигатель АИС355MB6 200 кВт 1500 об/мин|200|1000|990|365|380/660 ( Δ / Y )|6|94.5|0.88|6.7|1.9|2|1530х730х1010|1600|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |731993
АИС355MB8|Электродвигатели АИС|Электродвигатель АИС355MB8 160 кВт 750 об/мин|160|750|740|315|380/660 ( Δ / Y )|8|94.2|0.82|6.4|1.8|2|1530х730х1010|2150|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |0
