Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Момент инерции, кг*м2|Уровень шума, Дб|Габаритные размеры, мм|Высота вала, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Цена, руб.
АИР132M6|Электродвигатели АИР|Электродвигатель АИР132M6 7,5 кВт 1000 об/мин|7.5|1000|970|17.2|380/660 ( Δ / Y )|6|86|0.77|6.5|2|2.1|0,0597|73|510x345|132|86|50|IE1|F|IC411|IP55|У1|28,323.00   
АИР132S4|Электродвигатели АИР|Электродвигатель АИР132S4 7,5 кВт 1500 об/мин|7.5|1500|1450|15.6|380/660 ( Δ / Y )|4|87|0.84|7|2.3|2.3|0,0227|71|470x345|132|75|50|IE1|F|IC411|IP55|У1|25,231.00   
АИР160S8|Электродвигатели АИР|Электродвигатель АИР160S8 7,5 кВт 750 об/мин|7.5|750|720|17.8|380/660 ( Δ / Y )|8|85.5|0.75|6|1.9|2|0,0800|68|615x420|160|121|50|IE1|F|IC411|IP55|У1|41,001.00   
АИР132M2|Электродвигатели АИР|Электродвигатель АИР132M2 11 кВт 3000 об/мин|11|3000|2900|21.2|380/660 ( Δ / Y )|2|88.4|0.89|7.5|2.2|2.3|0,0227|86|510x345|132|74|50|IE1|F|IC411|IP55|У1|26,645.00   
АИР132M4|Электродвигатели АИР|Электродвигатель АИР132M4 11 кВт 1500 об/мин|11|1500|1460|22.5|380/660 ( Δ / Y )|4|88.4|0.84|7|2.2|2.3|0,0349|75|510x345|132|87|50|IE1|F|IC411|IP55|У1|29,166.00   
АИР160M8|Электродвигатели АИР|Электродвигатель АИР160M8 11 кВт 750 об/мин|11|750|730|25.5|380/660 ( Δ / Y )|8|87.5|0.75|6.5|2|2|0,0850|70|660x420|160|152|50|IE1|F|IC411|IP55|У1|48,629.00   
АИР160S6|Электродвигатели АИР|Электродвигатель АИР160S6 11 кВт 1000 об/мин|11|1000|970|24.5|380/660 ( Δ / Y )|6|87.5|0.78|6.5|2|2.1|0,0700|73|615x420|160|122|50|IE1|F|IC411|IP55|У1|41,825.00   
АИР160M6|Электродвигатели АИР|Электродвигатель АИР160M6 15 кВт 1000 об/мин|15|1000|970|31.6|380/660 ( Δ / Y )|6|89|0.81|7|2|2.1|0,0750|73|660x420|160|152|50|IE1|F|IC411|IP55|У1|48,539.00   
АИР160S2|Электродвигатели АИР|Электродвигатель АИР160S2 15 кВт 3000 об/мин|15|3000|2930|28.6|380/660 ( Δ / Y )|2|89.4|0.89|7.5|2.2|2.3|0,0500|86|615x420|160|108|50|IE1|F|IC411|IP55|У1|39,148.00   
АИР160S4|Электродвигатели АИР|Электродвигатель АИР160S4 15 кВт 1500 об/мин|15|1500|1460|30|380/660 ( Δ / Y )|4|89.4|0.85|7.5|2.2|2.3|0,0600|75|615x420|160|126|50|IE1|F|IC411|IP55|У1|43,017.00   
